277141000	2025-09-09 15:15:48+02	0101000020E610000082FFAD64C72235400BEBC6BB23D74B40	5.5	166.8	\N	\N	119696	2026-03-03 15:06:06.622971+01
992614104	2025-09-08 10:11:51+02	0101000020E61000007CBABA63B1593340D464C6DB4A294B40	\N	\N	\N	\N	56917	2026-03-03 14:00:46.292532+01
277447000	2025-09-11 03:44:35+02	0101000020E610000066D828EB371F3540027E8D2441DA4B40	0	137.9	159	5	119704	2026-03-03 15:06:07.046014+01
636093085	2025-09-11 03:45:51+02	0101000020E610000061FA5E4370283540E7FC14C781D34B40	0	266.1	\N	5	119709	2026-03-03 15:06:07.367104+01
277466000	2025-09-09 17:48:20+02	0101000020E61000002B4F20EC14233540F949B54FC7D74B40	0	53.9	324	5	119739	2026-03-03 15:06:09.189578+01
210763000	2025-09-09 17:50:21+02	0101000020E6100000D88349F1F1293540E23C9CC074D24B40	0	270.9	324	5	119748	2026-03-03 15:06:09.79062+01
255806300	2025-09-08 01:58:58+02	0101000020E61000005F950B957FAD3440E4839ECDAAE14B40	15.9	278.1	277	0	60473	2026-03-03 14:04:24.619365+01
992614106	2025-09-08 10:03:35+02	0101000020E61000008010C990635F3340800F5EBBB4274B40	\N	\N	\N	\N	73779	2026-03-03 14:18:10.568242+01
970017319	2025-09-08 10:30:19+02	0101000020E6100000645A9BC6F6223540B3D2A41474D94B40	0	0	\N	15	55089	2026-03-03 13:58:53.367778+01
277201090	2025-09-10 11:34:15+02	0101000020E6100000284696CCB120354098FA795391DA4B40	0	0	\N	0	117856	2026-03-03 15:04:12.58029+01
219029880	2025-09-10 06:43:13+02	0101000020E610000032E36DA5D7163540766D6FB724DD4B40	0	260.7	301	5	118782	2026-03-03 15:05:10.849545+01
277202060	2025-09-08 15:56:40+02	0101000020E6100000DDED7A698A203540E31934F44FDA4B40	0	\N	\N	\N	116134	2026-03-03 15:02:23.655277+01
2614100	2025-09-08 10:10:44+02	0101000020E61000008010C99063733340B79C4B7155314B40	\N	\N	\N	\N	84649	2026-03-03 14:29:16.099815+01
44844202	2025-09-10 19:44:29+02	0101000020E6100000910E0F61FC7C4140CF4A5AF10DA74B40	\N	\N	\N	\N	96448	2026-03-03 14:41:22.628964+01
210090000	2025-09-08 02:57:09+02	0101000020E610000034F790F0BDD73440DAC87553CADD4B40	9.3	270.2	271	0	62762	2026-03-03 14:06:46.679326+01
277201510	2025-09-08 19:26:20+02	0101000020E610000099107349D5223540E0F42EDE8FC34B40	26.3	133	129	\N	38898	2026-03-03 13:41:36.886616+01
111277503	2025-09-10 13:28:07+02	0101000020E6100000AD342905DD8A3640CB11329067894B40	142	248.3	\N	\N	119183	2026-03-03 15:05:35.685618+01
